Brand,Car_Type,Weight_kg,Wheel_Size_in,Engine_Size_L,Car_Age_Years,Tire_Design
Ford,Convertible,1814,21,3.0,5,Wide-Cell Honeycomb
Honda,Convertible,2966,15,4.2,1,Versatile Honeycomb
Honda,Convertible,2949,17,2.4,7,Versatile Honeycomb
Chevrolet,SUV,1651,20,4.3,14,Wide-Cell Honeycomb
Mercedes,Truck,1344,20,3.5,15,Dense Texture Honeycomb
Hyundai,SUV,1110,14,2.7,17,Compact Honeycomb
Kia,Van,2233,22,3.7,11,Wide-Cell Honeycomb
Chevrolet,Sedan,1177,21,1.9,11,Dense Texture Honeycomb
Toyota,Wagon,2335,17,2.1,12,Versatile Honeycomb
Kia,Coupe,2695,15,3.9,17,Versatile Honeycomb
Kia,Sedan,2604,18,3.1,20,Wide-Cell Honeycomb
Ford,Sedan,1246,18,4.5,17,Wide-Spaced Honeycomb
Kia,Coupe,2072,19,4.6,17,Wide-Cell Honeycomb
Toyota,Convertible,1697,16,2.3,14,Wide-Spaced Honeycomb
Toyota,Hatchback,2665,20,4.8,17,Wide-Cell Honeycomb
Kia,Truck,2793,19,2.8,14,Wide-Cell Honeycomb
Mercedes,Hatchback,2961,22,3.4,17,Wide-Cell Honeycomb
Honda,SUV,2574,14,4.3,20,Versatile Honeycomb
Kia,Truck,1763,17,3.2,20,Wide-Spaced Honeycomb
Honda,Coupe,1606,14,3.4,11,Wide-Spaced Honeycomb
Chevrolet,Convertible,1541,19,2.2,1,Wide-Cell Honeycomb
Chevrolet,Van,2894,20,3.5,13,Wide-Cell Honeycomb
Nissan,Wagon,2561,20,2.6,20,Wide-Cell Honeycomb
Nissan,SUV,1790,19,4.3,4,Wide-Cell Honeycomb
Nissan,Sedan,1750,15,2.5,10,Wide-Spaced Honeycomb
Kia,Hatchback,2146,15,1.6,10,Versatile Honeycomb
BMW,Truck,2077,15,4.4,18,Versatile Honeycomb
Chevrolet,Sedan,1346,19,3.9,12,Wide-Spaced Honeycomb
Mercedes,Van,1110,17,1.7,11,Compact Honeycomb
Chevrolet,Sedan,1088,17,3.4,5,Compact Honeycomb
BMW,Truck,1289,21,4.5,12,Dense Texture Honeycomb
Audi,Coupe,1652,16,2.7,10,Wide-Spaced Honeycomb
Kia,Convertible,2166,21,1.6,16,Wide-Cell Honeycomb
Mercedes,Hatchback,2764,17,3.2,4,Versatile Honeycomb
Nissan,Sedan,2829,17,4.1,18,Versatile Honeycomb
Kia,Coupe,2675,22,2.4,2,Wide-Cell Honeycomb
Honda,Truck,2971,19,1.7,16,Wide-Cell Honeycomb
BMW,SUV,1588,14,4.8,17,Wide-Spaced Honeycomb
Honda,Wagon,2691,20,2.5,17,Wide-Cell Honeycomb
Chevrolet,Truck,1194,17,1.5,1,Compact Honeycomb
Chevrolet,Wagon,2979,20,3.3,14,Wide-Cell Honeycomb
BMW,Truck,2384,14,3.3,7,Versatile Honeycomb
Chevrolet,Coupe,2996,17,4.0,15,Versatile Honeycomb
Kia,Wagon,2151,18,3.2,11,Wide-Cell Honeycomb
BMW,Truck,1242,20,3.5,10,Dense Texture Honeycomb
Hyundai,Hatchback,1870,15,2.0,19,Wide-Spaced Honeycomb
Ford,Sedan,2626,16,4.0,19,Versatile Honeycomb
Nissan,Hatchback,2586,22,4.2,15,Wide-Cell Honeycomb
Nissan,Truck,1838,14,2.4,7,Wide-Spaced Honeycomb
Toyota,Convertible,1559,22,2.4,2,Wide-Cell Honeycomb
Toyota,Sedan,1941,17,1.6,5,Wide-Spaced Honeycomb
Audi,Wagon,2185,16,1.9,3,Versatile Honeycomb
Ford,Convertible,2098,19,2.3,20,Wide-Cell Honeycomb
Toyota,Truck,1197,15,3.2,10,Compact Honeycomb
Ford,Wagon,1032,22,3.4,19,Dense Texture Honeycomb
Toyota,Hatchback,2893,18,4.4,7,Wide-Cell Honeycomb
Honda,Convertible,2030,18,3.4,9,Wide-Cell Honeycomb
Kia,Convertible,2830,14,4.7,6,Versatile Honeycomb
Honda,Wagon,2159,22,2.4,8,Wide-Cell Honeycomb
Toyota,SUV,2641,20,3.4,19,Wide-Cell Honeycomb
Mercedes,Wagon,2217,20,4.6,18,Wide-Cell Honeycomb
Nissan,Van,2445,21,2.5,12,Wide-Cell Honeycomb
Hyundai,SUV,2756,14,4.6,6,Versatile Honeycomb
Kia,Hatchback,1868,22,2.4,15,Wide-Cell Honeycomb
Audi,SUV,1199,20,4.8,9,Dense Texture Honeycomb
Audi,Van,2159,17,1.5,7,Versatile Honeycomb
BMW,Truck,1150,14,1.5,15,Compact Honeycomb
Nissan,Sedan,1981,14,2.5,18,Wide-Spaced Honeycomb
Honda,SUV,2298,17,3.6,12,Versatile Honeycomb
Chevrolet,Wagon,1026,19,2.1,10,Wide-Spaced Honeycomb
Nissan,Hatchback,2514,18,3.6,18,Wide-Cell Honeycomb
BMW,Truck,2694,19,4.7,3,Wide-Cell Honeycomb
Nissan,Coupe,2504,15,4.4,13,Versatile Honeycomb
Honda,Van,1785,21,2.1,20,Wide-Cell Honeycomb
Ford,Convertible,2901,20,2.3,9,Wide-Cell Honeycomb
Hyundai,Wagon,1114,15,4.6,1,Compact Honeycomb
Nissan,Hatchback,2480,22,1.9,19,Wide-Cell Honeycomb
Hyundai,Truck,2821,17,4.5,5,Versatile Honeycomb
Honda,Truck,2746,17,4.8,15,Versatile Honeycomb
Honda,Hatchback,2869,21,3.6,6,Wide-Cell Honeycomb
Honda,Hatchback,1330,16,4.0,19,Compact Honeycomb
Nissan,Coupe,2499,14,2.5,4,Versatile Honeycomb
Kia,SUV,1985,15,1.8,16,Wide-Spaced Honeycomb
Kia,Sedan,1096,17,4.6,10,Compact Honeycomb
Toyota,Truck,1815,19,2.9,20,Wide-Cell Honeycomb
Ford,Convertible,2502,15,1.5,9,Versatile Honeycomb
Honda,Van,1003,21,3.2,20,Dense Texture Honeycomb
BMW,Coupe,1761,20,2.4,5,Wide-Cell Honeycomb
Toyota,Hatchback,1684,20,3.7,20,Wide-Cell Honeycomb
Hyundai,Coupe,1182,14,4.0,11,Compact Honeycomb
Hyundai,Hatchback,2033,19,2.1,1,Wide-Cell Honeycomb
Audi,Hatchback,2682,16,4.0,3,Versatile Honeycomb
Audi,Hatchback,2560,14,4.7,20,Versatile Honeycomb
Audi,Wagon,2365,14,2.0,11,Versatile Honeycomb
Honda,Truck,1426,16,3.1,20,Compact Honeycomb
Hyundai,SUV,2065,14,3.5,20,Versatile Honeycomb
Honda,Hatchback,2282,21,3.5,17,Wide-Cell Honeycomb
Audi,Convertible,1764,16,3.4,12,Wide-Spaced Honeycomb
Nissan,Convertible,2290,14,2.3,5,Versatile Honeycomb
Ford,Convertible,2899,20,4.8,20,Wide-Cell Honeycomb
Audi,Convertible,1339,19,4.1,15,Wide-Spaced Honeycomb
Honda,Truck,2164,22,3.5,18,Wide-Cell Honeycomb
Chevrolet,Sedan,2926,20,1.8,1,Wide-Cell Honeycomb
Toyota,Hatchback,1675,18,1.6,14,Wide-Cell Honeycomb
Audi,Wagon,2958,14,2.0,1,Versatile Honeycomb
Toyota,Hatchback,1340,19,2.2,10,Wide-Spaced Honeycomb
Mercedes,Van,2300,16,3.0,13,Versatile Honeycomb
Mercedes,SUV,2702,15,3.2,19,Versatile Honeycomb
Ford,Hatchback,1318,19,4.0,13,Wide-Spaced Honeycomb
Chevrolet,Sedan,2200,22,4.9,10,Wide-Cell Honeycomb
Toyota,Sedan,1172,20,3.4,3,Dense Texture Honeycomb
Mercedes,Truck,1161,15,3.1,19,Compact Honeycomb
Hyundai,Wagon,1394,16,3.7,3,Compact Honeycomb
Audi,Coupe,2637,17,4.2,11,Versatile Honeycomb
Hyundai,Truck,1321,16,3.2,20,Compact Honeycomb
Mercedes,Truck,1287,20,4.9,5,Dense Texture Honeycomb
Ford,Sedan,1270,19,5.0,12,Wide-Spaced Honeycomb
Audi,Coupe,1998,17,2.7,19,Wide-Spaced Honeycomb
Mercedes,Hatchback,1513,16,3.3,13,Wide-Spaced Honeycomb
Hyundai,Van,2256,17,3.2,16,Versatile Honeycomb
Toyota,Truck,1992,21,3.7,5,Wide-Cell Honeycomb
Ford,Sedan,1488,22,4.5,2,Dense Texture Honeycomb
Mercedes,SUV,1625,19,2.9,9,Wide-Cell Honeycomb
Mercedes,Hatchback,1097,14,3.2,19,Compact Honeycomb
BMW,SUV,1375,16,4.8,4,Compact Honeycomb
Audi,Wagon,2890,22,2.5,15,Wide-Cell Honeycomb
Kia,Wagon,1900,19,4.4,3,Wide-Cell Honeycomb
Ford,Truck,1751,19,4.0,6,Wide-Cell Honeycomb
Chevrolet,Coupe,1697,14,4.4,10,Wide-Spaced Honeycomb
Mercedes,Wagon,1856,19,4.5,11,Wide-Cell Honeycomb
Honda,Coupe,1903,21,3.8,4,Wide-Cell Honeycomb
Hyundai,Sedan,2462,18,4.7,3,Wide-Cell Honeycomb
BMW,Wagon,1602,14,4.4,11,Wide-Spaced Honeycomb
Nissan,Convertible,2558,16,4.0,10,Versatile Honeycomb
Hyundai,Coupe,2881,18,3.1,13,Wide-Cell Honeycomb
Nissan,Van,2290,18,2.2,20,Wide-Cell Honeycomb
Honda,SUV,2191,18,2.3,18,Wide-Cell Honeycomb
Chevrolet,Coupe,2890,17,3.0,5,Versatile Honeycomb
Audi,Truck,2645,20,1.6,19,Wide-Cell Honeycomb
Audi,SUV,2225,14,4.3,15,Versatile Honeycomb
Kia,Coupe,1805,22,2.2,16,Wide-Cell Honeycomb
Audi,Hatchback,2729,21,4.1,19,Wide-Cell Honeycomb
Mercedes,Hatchback,2787,14,3.8,11,Versatile Honeycomb
BMW,Wagon,2944,20,3.3,20,Wide-Cell Honeycomb
Ford,Van,1788,17,3.1,5,Wide-Spaced Honeycomb
Nissan,Sedan,2411,17,4.0,12,Versatile Honeycomb
Toyota,Wagon,1288,20,3.9,11,Dense Texture Honeycomb
Hyundai,Truck,1145,15,2.8,16,Compact Honeycomb
Mercedes,Hatchback,2869,16,2.9,17,Versatile Honeycomb
Kia,Wagon,2958,14,4.5,2,Versatile Honeycomb
Honda,Convertible,1007,20,1.8,3,Dense Texture Honeycomb
Mercedes,SUV,1102,22,4.9,6,Dense Texture Honeycomb
Toyota,Truck,1940,15,2.3,15,Wide-Spaced Honeycomb
Hyundai,Wagon,1509,22,4.7,16,Wide-Cell Honeycomb
Ford,Wagon,2670,15,2.4,5,Versatile Honeycomb
Honda,Wagon,2263,19,4.2,10,Wide-Cell Honeycomb
Nissan,Convertible,2244,17,4.8,20,Versatile Honeycomb
Kia,Van,1695,15,4.6,4,Wide-Spaced Honeycomb
Ford,Sedan,2293,16,2.6,1,Versatile Honeycomb
Mercedes,Coupe,1226,18,3.0,5,Wide-Spaced Honeycomb
Ford,Wagon,1434,22,4.9,1,Dense Texture Honeycomb
Ford,Sedan,2426,19,4.6,1,Wide-Cell Honeycomb
Mercedes,Convertible,1075,17,2.6,6,Compact Honeycomb
Ford,Hatchback,1725,14,4.3,13,Wide-Spaced Honeycomb
Ford,Convertible,2510,21,1.6,5,Wide-Cell Honeycomb
Kia,SUV,2391,20,4.2,19,Wide-Cell Honeycomb
Toyota,Hatchback,2316,16,1.6,16,Versatile Honeycomb
Audi,Convertible,1187,20,3.2,16,Dense Texture Honeycomb
Audi,Wagon,2085,16,2.6,14,Versatile Honeycomb
Toyota,Wagon,1248,22,4.0,7,Dense Texture Honeycomb
Chevrolet,Hatchback,1153,20,5.0,16,Dense Texture Honeycomb
Hyundai,Coupe,1255,16,2.8,7,Compact Honeycomb
BMW,Hatchback,1134,20,4.6,15,Dense Texture Honeycomb
Audi,Van,2836,14,3.7,2,Versatile Honeycomb
Mercedes,Wagon,1707,18,2.2,16,Wide-Cell Honeycomb
Nissan,Van,2219,22,4.5,12,Wide-Cell Honeycomb
Honda,Coupe,2067,19,2.8,17,Wide-Cell Honeycomb
Audi,Wagon,2452,21,4.3,19,Wide-Cell Honeycomb
Ford,Sedan,2909,19,4.4,12,Wide-Cell Honeycomb
Kia,Truck,1996,22,3.5,11,Wide-Cell Honeycomb
Toyota,Truck,1674,21,2.8,4,Wide-Cell Honeycomb
Mercedes,SUV,2780,21,3.7,6,Wide-Cell Honeycomb
Kia,Coupe,1645,15,1.9,1,Wide-Spaced Honeycomb
Toyota,Van,2969,14,2.2,8,Versatile Honeycomb
BMW,Hatchback,1607,17,2.6,2,Wide-Spaced Honeycomb
Kia,Wagon,1899,18,3.6,6,Wide-Cell Honeycomb
Mercedes,SUV,2800,14,1.8,12,Versatile Honeycomb
Nissan,Convertible,2568,22,3.1,6,Wide-Cell Honeycomb
Toyota,Sedan,1982,20,3.8,7,Wide-Cell Honeycomb
BMW,Coupe,1947,20,1.6,16,Wide-Cell Honeycomb
Kia,Wagon,1494,21,2.0,1,Dense Texture Honeycomb
Toyota,Coupe,2024,22,2.4,9,Wide-Cell Honeycomb
